Spieler;Marktwert;Mindestgebot;Besitzer;TM_Stand;Restzeit;Verein
Bogdanov;360.000;360.000;Computer;26.08.2025;1d, 3h;1.FC Union Berlin
Claude-Maurice;4.880.000;4.880.000;Computer;26.08.2025;1d, 3h;FC Augsburg
N. Banks;890.000;890.000;Computer;26.08.2025;1d, 3h;FC Augsburg
Weißhaupt;1.480.000;1.480.000;Computer;26.08.2025;1d, 3h;Sport-Club Freiburg
Friedrich;500.000;500.000;Computer;26.08.2025;1d, 3h;Borussia Mönchengladbach
Castrop;1.270.000;1.270.000;Computer;26.08.2025;1d, 3h;Borussia Mönchengladbach
Jäger;160.000;160.000;Computer;26.08.2025;1d, 3h;FC Augsburg
Scally;2.410.000;2.410.000;Computer;26.08.2025;1d, 3h;Borussia Mönchengladbach
Maier;620.000;620.000;Computer;26.08.2025;1d, 3h;FC Augsburg
Telle;170.000;170.000;Computer;26.08.2025;3h;1. FC Köln
Kim;4.110.000;3.970.000;Computer;26.08.2025;3h;FC Bayern München
Demirović;5.660.000;5.420.000;Computer;26.08.2025;3h;VfB Stuttgart
Sabitzer;4.940.000;4.810.000;Computer;26.08.2025;3h;Borussia Dortmund
T. Drexler;350.000;380.000;Computer;26.08.2025;3h;TSG Hoffenheim
Köbbing;160.000;160.000;Computer;26.08.2025;3h;1. FC Köln
