Manager;Teamwert;Gesamtpunkte;letzte Punkte;Datum
Thomas;74930000;0;0;15.06.2025
Alfons;63700000;0;0;15.06.2025
Christoph;60990000;0;0;15.06.2025
Pascal;56150000;0;0;15.06.2025
Andreas;55660000;0;0;15.06.2025
Dominik;54110000;0;0;15.06.2025
Nico;47630000;0;0;15.06.2025
Christian;40110000;0;0;15.06.2025
Thomas;69460000;0;0;16.06.2025
Dominik;62750000;0;0;16.06.2025
Alfons;61410000;0;0;16.06.2025
Pascal;55580000;0;0;16.06.2025
Andreas;54060000;0;0;16.06.2025
Christoph;51570000;0;0;16.06.2025
Christian;38590000;0;0;16.06.2025
Nico;36810000;0;0;16.06.2025
Thomas;68830000;0;0;17.06.2025
Dominik;63680000;0;0;17.06.2025
Alfons;61550000;0;0;17.06.2025
Pascal;60250000;0;0;17.06.2025
Andreas;53290000;0;0;17.06.2025
Christoph;51810000;0;0;17.06.2025
Christian;39020000;0;0;17.06.2025
Nico;37000000;0;0;17.06.2025
Thomas;67460000;0;0;18.06.2025
Dominik;62320000;0;0;18.06.2025
Alfons;60140000;0;0;18.06.2025
Andreas;57410000;0;0;18.06.2025
Pascal;54070000;0;0;18.06.2025
Christoph;52650000;0;0;18.06.2025
Christian;37430000;0;0;18.06.2025
Nico;35810000;0;0;18.06.2025
Thomas;66460000;0;0;19.06.2025
Dominik;65410000;0;0;19.06.2025
Alfons;59930000;0;0;19.06.2025
Andreas;57460000;0;0;19.06.2025
Pascal;54490000;0;0;19.06.2025
Christoph;53650000;0;0;19.06.2025
Christian;37540000;0;0;19.06.2025
Nico;36220000;0;0;19.06.2025
Dominik;64660000;0;0;20.06.2025
Thomas;64020000;0;0;20.06.2025
Christoph;58190000;0;0;20.06.2025
Alfons;56900000;0;0;20.06.2025
Andreas;54800000;0;0;20.06.2025
Pascal;51690000;0;0;20.06.2025
Nico;35590000;0;0;20.06.2025
Christian;33490000;0;0;20.06.2025
Thomas;64050000;0;0;21.06.2025
Dominik;63830000;0;0;21.06.2025
Alfons;57070000;0;0;21.06.2025
Christoph;53340000;0;0;21.06.2025
Andreas;53170000;0;0;21.06.2025
Pascal;53120000;0;0;21.06.2025
Nico;35530000;0;0;21.06.2025
Christian;33740000;0;0;21.06.2025
Dominik;64490000;0;0;22.06.2025
Thomas;61320000;0;0;22.06.2025
Christoph;57700000;0;0;22.06.2025
Alfons;55430000;0;0;22.06.2025
Pascal;53710000;0;0;22.06.2025
Andreas;52940000;0;0;22.06.2025
Nico;37440000;0;0;22.06.2025
Christian;31540000;0;0;22.06.2025
Dominik;62810000;0;0;23.06.2025
Nico;57210000;0;0;23.06.2025
Thomas;56820000;0;0;23.06.2025
Christoph;56710000;0;0;23.06.2025
Alfons;56700000;0;0;23.06.2025
Andreas;54380000;0;0;23.06.2025
Pascal;53080000;0;0;23.06.2025
Christian;32030000;0;0;23.06.2025
Dominik;61380000;0;0;24.06.2025
Pascal;57270000;0;0;24.06.2025
Christoph;56670000;0;0;24.06.2025
Thomas;56270000;0;0;24.06.2025
Nico;55330000;0;0;24.06.2025
Alfons;55280000;0;0;24.06.2025
Andreas;54010000;0;0;24.06.2025
Christian;32090000;0;0;24.06.2025
Thomas;64010000;0;0;25.06.2025
Dominik;62330000;0;0;25.06.2025
Pascal;57410000;0;0;25.06.2025
Nico;56310000;0;0;25.06.2025
Alfons;55850000;0;0;25.06.2025
Christoph;54920000;0;0;25.06.2025
Andreas;54430000;0;0;25.06.2025
Christian;32090000;0;0;25.06.2025
Dominik;59740000;0;0;26.06.2025
Pascal;55070000;0;0;26.06.2025
Alfons;53800000;0;0;26.06.2025
Nico;53760000;0;0;26.06.2025
Thomas;53210000;0;0;26.06.2025
Christoph;52580000;0;0;26.06.2025
Andreas;50670000;0;0;26.06.2025
Christian;31270000;0;0;26.06.2025
Dominik;59180000;0;0;27.06.2025
Andreas;54710000;0;0;27.06.2025
Pascal;54690000;0;0;27.06.2025
Nico;54420000;0;0;27.06.2025
Alfons;54130000;0;0;27.06.2025
Christoph;53120000;0;0;27.06.2025
Thomas;52050000;0;0;27.06.2025
Christian;31700000;0;0;27.06.2025
Dominik;56880000;0;0;28.06.2025
